title,url,summary,datetime
Grube James,https://de.wikipedia.org/wiki/Grube_James,"Die Grube James war eine Steinkohlengrube des so genannten „Münsterkohlbergs“ im Inderevier des Aachener Reviers. Sie wurde nach James Cockerill benannt und lag südlich der Inde und westlich des Vichtbachs in Münsterbusch und Mühle. Zur Zeit ihrer Entstehung lag sie auf der Grenze der Bürgermeistereien Stolberg und Büsbach. Wie die Gruben „Atsch“, „Propstei“ und „Birkengang“ bei Eschweiler baute sie geologisch die Oberen Stolberger Schichten ab. Ihre maximale Förderrate betrug jährlich 50.000 bis 60.000 Tonnen Mitte des 19. Jahrhunderts. Zu ihr gehörten die Schächte „Glück-auf“, „James“, „Amalia“, „Carl“, „Caroline“ und „Heinrich“, wobei die vier letztgenannten Mitte des 19. Jahrhunderts mit Dampfmaschinen ausgerüstet wurden. Die bereits um 1825 erschlossene Grube wurde von James Cockerill und den Unternehmerbrüdern Siegwarth 1830 übernommen, in den folgenden Jahren auf ihre maximale Teufe von rund 150 m gebracht, was einen großtechnischen Abbau ermöglichte, und dann ab 1834 von Cockerill allein geleitet. Von 1840 bis zu ihrer Aufgabe am 10. Juli 1891 als letzte Steinkohlengrube im heutigen Stolberger Stadtgebiet war die Grube im Besitz der „Metallurgische Gesellschaft zu Stolberg“ . 1877 wurde am Schacht „Heinrich“ ein Fördergerüst mit Personenseilfahrt errichtet. Ihre Förderung diente zur Deckung des Energiebedarfs der nahegelegenen Blei- und Silberhütte sowie der St. Heinrichs-Hütte in Münsterbusch, mit denen sie eine der ersten Industrielandschaften in Deutschland bildete.",2017-07-27 17:23:39
Stuart Foster,https://de.wikipedia.org/wiki/Stuart_Foster,"Stuart Foster  war ein US-amerikanischer Crooner. Foster hatte armenische Vorfahren. Er sang Anfang der 1940er Jahre in der Band von Ina Ray Hutton . Im Jahr 1944 tat er sich mit Guy Lombardo and His Royal Canadians zusammen. 1945 war er Sieger der Umfrage des Jazz-Magazins Down Beat hinsichtlich der Befragung des Leser-Polls bezogen auf Bandsänger. Ab 1945 sang er für dreieinhalb Jahre in der Band von Tommy Dorsey, mit der er auch den Song Something’s Gotta Give aufnahm. In dem Film The Fabulous Dorseys von 1947 spielte er sich selbst. In den 1950er Jahren arbeitete er mit dem Komponisten und Arrangeur Gordon Jenkins zusammen. Seit 1946 war Foster mit Patricia ""Bubbles"" Louie von den Kim Loo Sisters , verheiratet mit der er einen Sohn hatte. Der Künstler starb im Alter von 49 Jahren an den Folgen eines Herzanfalls.",2017-07-27 17:24:00
Fruchtblase,https://de.wikipedia.org/wiki/Fruchtblase,"Die Fruchtblase, auch Fruchtwassersack oder Fruchtsack , ist ein flüssigkeitgefüllter Membransack, in dem sich der Embryo bzw. Fötus amniotischer Landwirbeltiere entwickelt. Sie befindet sich entweder in einem mit einer relativ festen Schale umschlossenen Ei  oder im Uterus des Muttertieres . Was genau als „Fruchtblase“ bezeichnet wird, darauf legt sich die Literatur nicht einheitlich fest. Teils wird als Fruchtwassersack nur das mit Fruchtwasser gefüllte Amnion , die innere, den Embryo bzw. Fötus unmittelbar umgebende Eihaut, bezeichnet, teils ist die Fruchtblase aber auch definiert als die Gesamtheit der Eihäute, das heißt, sie schließt mindestens auch das Chorion , eine äußere Eihaut, mit ein. Diese Unschärfe mag darin begründet sein, dass während der Entwicklung des Embryos das extraembryonale Coelom, der flüssigkeitsgefüllte Raum zwischen Amnion und Chorion, infolge des Wachstums des Embryos und der Amnionhöhle schrumpft. Schließlich verschmilzt das Amnion großflächig mit dem Chorion, dem bei plazentalen Säugern noch eine Lage aus Uterusschleimhaut  aufliegt, sodass strukturell die Amnionhöhle spätestens kurz vor der Geburt bzw. dem Schlupf den einzigen großen Hohlraum innerhalb der Eihäute und außerhalb des Fötus’ bildet. Bei plazentalen Säugetieren platzt die Fruchtblase  zu Beginn des Geburts­vorganges durch die Wirkung der Wehen. Das Fruchtwasser erleichtert nun das Herausgleiten des Ungeborenen. Die künstliche Eröffnung der Fruchtblase wird Amniotomie genannt. Die Fruchtblase verbleibt zunächst oft noch in der Gebärmutter und wird erst nach dem eigentlichen Geburtsvorgang zusammen mit der Plazenta abgestoßen .",2017-07-27 17:24:10
Mochiru Hoshisato,https://de.wikipedia.org/wiki/Mochiru_Hoshisato,"Mochiru Hoshisato  ist ein japanischer Manga-Zeichner. Seinen ersten Manga für einen Verlag zeichnete Hochisato 1986 mit Kiken ga Walking. Dieser erschien beim Tokuma Shoten-Verlag. Dort veröffentlichte er bis Anfang der 1990er weitere Manga für die Manga-Magazine Petit Apple Pie und Shōnen Captain. Ende 1990 wechselte er zum Shogakukan-Verlag und zeichnete dort seine ersten Erfolge für verschiedene Seinen-Magazine. Sein bekanntester Manga ist Living Game. Hochisato gilt in Japan als einer der wichtigsten Comiczeichner von Romantikkomödien für erwachsene Männer. Seine Werke beinhalten in der Regel keine Erotik; er überzeugt seine Fans mehr durch Charaktertiefgang. Hochisatos Zeichnungen sind meist einfach und weisen, besonders in romantischen Momenten, viel Rasterfolie auf. Der Manga-Zeichner Naoe Kikuchi hat als Assistent bei ihm gearbeitet.",2017-07-27 17:24:54
Tapes ’n Tapes,https://de.wikipedia.org/wiki/Tapes_%E2%80%99n_Tapes,"Tapes 'n Tapes ist eine US-amerikanische Indie-Rockband aus Minneapolis, Minnesota. Die vier Mitglieder gründeten die Band 2003 und brachten bereits zwei Tonträger heraus: Der erste, die EP Tapes 'n Tapes, wurde 2004 von der Band selbstveröffentlicht. Das erste Album, The Loon wurde von 2005 von Ibid Records herausgebracht. Im April 2006 wechselte Tapes 'n Tapes zum Label XL Recordings, welches bereits im Juli 2006 The Loon neu auflegte. The Loon erhielt mehrere gute Kritiken, u.a. von Pitchfork Media, einer Musik-Website, deren Veröffentlichungen einen großen Einfluss auf den Erfolg einer Band haben sollen. Tapes 'n Tapes wurde sogar mit Alternative-Bands wie Pixies oder Pavement verglichen. Ihr Debüt im amerikanischen Fernsehen hatten die vier Musiker in ""Late Night"" im Juli 2006, sie spielten ihren Song ""Insistor"". Tapes 'n Tapes sind in die Indie-Rock-Kultur einzuordnen, ihre Stücke sind für Indie teils relativ langsam, selten sogar mit Blues-Elementen geschmückt. Andererseits bietet die Band etwas schnellere, schwach rockige Songs, die auf sehr klaren Melodien basieren und mit ausgeprägten Bass- und Gitarrensounds unterlegt werden. Prägend für den Stil der Band ist auch die leicht kratzige Stimme von Sänger Josh Grier.",2017-07-27 17:25:16
Sergei Michailowitsch Polikanow,https://de.wikipedia.org/wiki/Sergei_Michailowitsch_Polikanow,"Sergei Michailowitsch Polikanow  war ein russischer Kernphysiker. Polikanow studierte am Moskauer Institut für Physik und Technologie mit dem Abschluss 1950. Er war in Moskau ein Schüler von Lew Landau und Igor Tamm. Danach war er am Institut für Atomenergie und ab 1957 am JINR in Dubna. Polikanow ist einer der Entdecker der spontanen Spaltung von Isomeren, als er 1962 spontane Spaltung nach dem Beschuss von Uran 238 mit schweren Ionen bemerkte. Später stellte sich heraus, dass dies die spontane Spaltung eines angeregten Zustands  von Americium 242 war. Er war in Dubna an der Synthese der Elemente mit den Ordnungszahlen 102  und 103  beteiligt  und studierte Phänomene der Kernspaltung unter Einwirkung von negativ geladenen Myonen . Er wollte dazu zu einem längeren Aufenthalt am CERN. Probleme damit und seine Verbindung mit Dissidenten um Andrei Sacharow führten 1978 zu seiner Ausweisung und seinem Bruch mit der Sowjetunion. Er gab alle seine Orden zurück. Zunächst war er von 1978 bis 1980 am Niels-Bohr-Institut in Kopenhagen und von 1980 bis 1982 am CERN. Ab 1982 war er am GSI Darmstadt. Er erhielt eine Honorarprofessur an der Universität Heidelberg und wurde 1988 Ehrendoktor in Uppsala. Er ist korrespondierendes Mitglied der Russischen Akademie der Wissenschaften . 1967 erhielt er den Leninpreis und er erhielt den Leninorden. 1978 erhielt er den Tom-W.-Bonner-Preis für Kernphysik.",2017-07-27 17:26:17
Scottish Division One 1948/49,https://de.wikipedia.org/wiki/Scottish_Division_One_1948/49,Die Scottish Football League Division One wurde 1948/49 zum 49. Mal ausgetragen. Es war zudem die 52. Austragung einer höchsten Fußball-Spielklasse innerhalb der Scottish Football League in welcher der Schottische Meister ermittelt wurde. Sie begann am 14. August 1948 und endete am 30. April 1949. In der Saison 1948/49 traten 16 Vereine in insgesamt 30 Spieltagen gegeneinander an. Jedes Team spielte jeweils einmal zu Hause und auswärts gegen jedes andere Team. Es galt die 2-Punkte-Regel. Bei Punktgleichheit zählte die Tordifferenz. Die Meisterschaft gewannen zum insgesamt 26. Mal in ihrer Vereinsgeschichte die Glasgow Rangers. Morton und die Albion Rovers stiegen am Saisonende in die Division Two ab. Torschützenkönig wurde mit 30 Treffern Alex Stott vom FC Dundee.,2017-07-27 17:26:24
Baas (Beruf),https://de.wikipedia.org/wiki/Baas_(Beruf),"Ein Baas  ist ein aus dem Niederdeutschen stammender Ausdruck für Vermittler, Prinzipal und Meister, der auch heute noch im Niederländischen gebräuchlich ist. Er wird in der Seemanns- und Shanty-Sprache für einzelne Seemannsberufe verwandt. Auf dem Seeweg gelangte das Wort nach Amerika, wo es schließlich zu Boss wurde. Ein Heuerbaas war ein Arbeitsvermittler, der, vom Kapitän beauftragt, die Mannschaft für ein Schiff gegen Gebühr anmusterte. Für den Seemann, der oft auf ihn angewiesen war, galt er als der Prototyp eines Wucherers und Betrügers: „Vampyr-Heuerbase mit ihrem ganzen Schmarotzer-Anhang von Schlafbasen“. Das Heuerbaaswesen wurde Anfang des 20. Jahrhunderts gesetzlich abgeschafft. Eine literarische Beschreibung eines Heuerbaas liefert Gorch Fock in seinen Erzählungen Nach dem Sturm. Die Abschaffung der Heuerbaasen war eine zentrale Forderung im Hamburger Hafenarbeiterstreik 1896/97. Der Schlafbaas  vermittelte Schlafstellen an Land. Dieser war häufig auch gleichzeitig ein Heuerbaas. Als Zimmerbaas  wird ein Schiffszimmermeister bezeichnet. Im Rheinland, insbesondere am Niederrhein, ist der Baas ebenfalls bekannt. Als Liewwerbaas kennt man dort den Liefermeister im Verlagsmanufakturwesen. In den traditionellen Brauhäusern am Niederrhein hat der Baas die Oberaufsicht über den Ausschank, den Zappes und die Köbesse, oder bezeichnet den Wirt oder den Braumeister selbst. Auch der Vorsitzende des Heimatvereins Düsseldorfer Jonges wird Baas genannt.",2017-07-27 17:26:26
Duplex (BCLE),https://de.wikipedia.org/wiki/Duplex_(BCLE),"Duplex war eine britische Automobilmarke, die 1919–1921 von der British Commercial Lorry & Engineering Co. Ltd. in Trafford Park in Manchester hergestellt wurde. Der Duplex 10 hp war ein leichter, zweisitziger Tourenwagen, der 1919 erschien. Er besaß einen Achtzylinder-Reihenmotor mit 1,5 l Hubraum. Die Zylinder waren auf zwei parallele Zylinderbänke à vier Zylinder aufgeteilt . Der Motor wurde mit Hülsenschiebern nach dem Knight-Prinzip gesteuert und gab 22 bhp  Leistung bei 2.000 min−1 ab. Der Radstand des ungewöhnlichen Wagens betrug 2.692 mm. 1920 löste der Duplex 10/20 hp den 10 hp ab. Er war mit einem gewöhnlichen, seitengesteuerten Vierzylinder-Reihenmotor ausgestattet, der 33 bhp  bei 3.000 min−1 leistete. Er wurde von Coventry-Simplex zugeliefert. Der Radstand blieb unverändert. Auch für das neue Modell fanden sich nicht genug Käufer, sodass die Marke 1921 wieder vom Markt verschwand.",2017-07-27 17:26:30
Green College (Oxford),https://de.wikipedia.org/wiki/Green_College_(Oxford),"Das Green College war ein konstituierendes College der University of Oxford in England. In seiner Mitte befand sich das Radcliffe Observatory, das dem antiken Turm der Winde in Athen nachempfunden ist. Das College wurde 1979 gegründet und nach seinen Hauptstiftern, Cecil H. Green und seiner Ehefrau Ida Green, benannt. Green war der Gründer von Texas Instruments. Das Green College in Oxford war eines von zwei Colleges, die von ihm gestiftet wurden. Das andere College gehört zu der University of British Columbia. Das Green College wurde der human welfare in der zeitgenössischen Gesellschaft geweiht. Der akademische Fokus lag daher hauptsächlich auf Medizin. Ferner wurde Umwelt- und Sozialwissenschaften nachgegangen. 30 % der Studenten studierten Medizin. Etwa 20 % der Absolventen engagierten sich in der medizinischen Forschung. Klimaänderung und pädagogische Studien waren zwei andere Schwerpunkte am College. Am 3. Juli 2007 wurde angekündigt, dass das Green College mit dem Templeton College am 1. Oktober 2008 zum Green Templeton College mit dem alten Standort des Green Colleges zusammengelegt werden sollte.",2017-07-27 17:27:09
